column,group
f_lag_yoy_1,growth_dynamics
f_lag_yoy_2,growth_dynamics
f_lag_yoy_3,growth_dynamics
f_lag_yoy_4,growth_dynamics
f_lag_yoy_5,growth_dynamics
f_accel_1,growth_dynamics
f_accel_seasonal,growth_dynamics
f_roll_mean_4,growth_dynamics
f_roll_mean_8,growth_dynamics
f_roll_std_4,growth_dynamics
f_roll_std_8,growth_dynamics
f_yoy_z,growth_dynamics
f_hist_mean,company_behavior
f_hist_std,company_behavior
f_obs_count,company_behavior
f_qoq_1,growth_dynamics
f_qoq_mean_4,growth_dynamics
f_log_revenue,company_behavior
f_m_gross,company_behavior
f_m_gross_chg4,company_behavior
f_m_oper,company_behavior
f_m_oper_chg4,company_behavior
f_m_net,company_behavior
f_m_net_chg4,company_behavior
f_m_ebitda,company_behavior
f_m_ebitda_chg4,company_behavior
f_m_rd,company_behavior
f_m_sga,company_behavior
f_m_capex,company_behavior
f_m_cfo,company_behavior
f_asset_turnover,company_behavior
asof_ttm_revenue,id
asof_shares_outstanding,id
asof_long_term_debt,id
asof_cash,id
cq,id
ticker,id
revenue_yoy_target,target
sector,id
target_q,id
target_quarter,id
target_period_end,id
forecast_origin,id
feature_lag,id
f_quarter,id
f_is_q1,seasonality
f_is_q2,seasonality
f_is_q3,seasonality
f_is_q4,seasonality
bl_persistence,baseline_ref
bl_seasonal,baseline_ref
bl_trailing_mean4,baseline_ref
bl_trailing_mean8,baseline_ref
bl_company_hist,baseline_ref
f_sector_yoy_loo,sector_behavior
f_sector_yoy_median,sector_behavior
f_sector_yoy_std,sector_behavior
f_yoy_vs_sector,sector_behavior
bl_sector_median,baseline_ref
mac_fed_funds,macro
mac_ust_10y,macro
mac_ust_2y,macro
mac_ust_3m,macro
mac_yield_curve_10y2y,macro
mac_cpi,macro
mac_core_pce,macro
mac_unemployment,macro
mac_ism_pmi_proxy,macro
mac_retail_sales,macro
mac_consumer_sentiment,macro
mac_vix,macro
mac_hy_spread,macro
mac_usd_index,macro
mac_wti_oil,macro
mac_cpi_yoy,macro
mac_cpi_qoq,macro
mac_retail_sales_yoy,macro
mac_retail_sales_qoq,macro
mac_ism_pmi_proxy_yoy,macro
mac_ism_pmi_proxy_qoq,macro
mac_wti_oil_yoy,macro
mac_wti_oil_qoq,macro
mac_usd_index_yoy,macro
mac_usd_index_qoq,macro
mkt_ret_63,market_risk
mkt_ret_126,market_risk
mkt_drawdown_63,market_risk
vol_252,other
beta_SPX_252,other
mkt_market_cap,market_risk
mkt_ps_ratio,market_risk
mkt_ev_to_rev,market_risk
bea_sector_va,sector_behavior
bea_sector_va_yoy,sector_behavior
bea_sector_va_qoq,sector_behavior
f_guid_count_180d,guidance
f_guid_net_dir_180d,guidance
f_guid_net_dir_365d,guidance
f_guid_raise_90d,guidance
f_guid_lower_90d,guidance
f_guid_days_since_last,guidance
f_guid_latest_raise,guidance
f_guid_latest_lower,guidance
